Start,Finish,Steps (count)
10/7/16 0:00,11/7/16 0:00,8841
11/7/16 0:00,12/7/16 0:00,12941
12/7/16 0:00,13/7/16 0:00,4087
13/7/16 0:00,14/7/16 0:00,4548
14/7/16 0:00,15/7/16 0:00,18850
15/7/16 0:00,16/7/16 0:00,4774
16/7/16 0:00,17/7/16 0:00,7554
17/7/16 0:00,18/7/16 0:00,13426
18/7/16 0:00,19/7/16 0:00,14708
19/7/16 0:00,20/7/16 0:00,5467
20/7/16 0:00,21/7/16 0:00,9363
21/7/16 0:00,22/7/16 0:00,4075
22/7/16 0:00,23/7/16 0:00,14513
23/7/16 0:00,24/7/16 0:00,4000
24/7/16 0:00,25/7/16 0:00,7999
25/7/16 0:00,26/7/16 0:00,7056
